name;target;result;icon
FATALITY;0;0;__
TRIR;0;0;__
PVIR;0;0;__
ENVIRONMENT;0;0;__
FIRE;0;0;__
FIRSTAID;0;0;__
OCCUPATIONAL;0;0;__
FATALITY;0;0;__
TRIR;0;03.53;__
PVIR;0;0;__
ENVIRONMENT;0;0;__
FIRE;0;0;__
FIRSTAID;0;0;__
OCCUPATIONAL;0;0;__
FATALITY;0;0;__
TRIR;0;0,095138889;__
PVIR;0;0;__
ENVIRONMENT;0;0;__
FIRE;0;0;__
FIRSTAID;0;0;__
OCCUPATIONAL;0;0;__
FATALITY;0;0;__
TRIR;0;0,061805556;__
PVIR;0;0;__
ENVIRONMENT;0;0;__
FIRE;0;0;__
FIRSTAID;0;0;__
OCCUPATIONAL;0;0;__
FATALITY;0;0;__
TRIR;00.44;0;__
PVIR;0;0;__
ENVIRONMENT;0;0;__
FIRE;0;0;__
FIRSTAID;0;0;__
OCCUPATIONAL;0;0;__
