program_id,month,year,plan_value,actual_value,status
1,jan,2026,0,0,pending
1,feb,2026,0,0,pending
1,mar,2026,0,0,pending
1,apr,2026,0,0,pending
1,may,2026,0,0,pending
1,jun,2026,0,0,pending
1,jul,2026,0,0,pending
1,aug,2026,0,0,pending
1,sep,2026,0,0,pending
1,oct,2026,0,0,pending
1,nov,2026,0,0,pending
1,dec,2026,0,0,pending
2,jan,2026,4,4,completed
2,feb,2026,4,4,completed
2,mar,2026,4,4,completed
2,apr,2026,4,4,completed
2,may,2026,4,4,completed
2,jun,2026,4,4,completed
2,jul,2026,4,4,completed
2,aug,2026,4,4,completed
2,sep,2026,4,4,completed
2,oct,2026,4,4,completed
2,nov,2026,4,0,pending
2,dec,2026,4,0,pending
3,jan,2026,0,0,pending
3,feb,2026,0,0,pending
3,mar,2026,0,0,pending
3,apr,2026,0,0,pending
3,may,2026,0,0,pending
3,jun,2026,0,0,pending
3,jul,2026,1,1,completed
3,aug,2026,1,1,completed
3,sep,2026,0,0,pending
3,oct,2026,0,0,pending
3,nov,2026,0,0,pending
3,dec,2026,0,0,pending
4,jan,2026,2,3,completed
4,feb,2026,2,2,completed
4,mar,2026,2,2,completed
4,apr,2026,2,2,completed
4,may,2026,2,2,completed
4,jun,2026,2,2,completed
4,jul,2026,2,2,completed
4,aug,2026,2,2,completed
4,sep,2026,2,2,completed
4,oct,2026,2,2,completed
4,nov,2026,2,2,completed
4,dec,2026,2,0,pending
5,jan,2026,0,0,pending
5,feb,2026,0,0,pending
5,mar,2026,0,0,pending
5,apr,2026,0,0,pending
5,may,2026,0,0,pending
5,jun,2026,0,0,pending
5,jul,2026,0,0,pending
5,aug,2026,0,0,pending
5,sep,2026,0,0,pending
5,oct,2026,1,1,completed
5,nov,2026,0,0,pending
5,dec,2026,0,0,pending
6,jan,2026,1,1,completed
6,feb,2026,1,1,completed
6,mar,2026,1,1,completed
6,apr,2026,1,2,completed
6,may,2026,1,1,completed
6,jun,2026,1,1,completed
6,jul,2026,1,1,completed
6,aug,2026,1,1,completed
6,sep,2026,1,1,completed
6,oct,2026,1,1,completed
6,nov,2026,1,1,completed
6,dec,2026,1,0,pending
7,jan,2026,1,1,completed
7,feb,2026,0,1,pending
7,mar,2026,0,1,pending
7,apr,2026,1,1,completed
7,may,2026,0,0,pending
7,jun,2026,0,0,pending
7,jul,2026,1,1,completed
7,aug,2026,0,0,pending
